Postcode,A,B,C,D,E,F,G,H,I,J,K,L,M,N,A01,A02,A03,A04,B05,B06,B07,C08,C09,C10,D11,D12,D13,E14,E15,E16,F17,F18,F19,G20,G21,G22,G23,H24,H25,H26,H27,I28,I29,I30,J31,J32,J33,J34,K35,K36,K37,L38,L39,L40,L41,L42,M43,M44,M45,M46,M47,N48,N49,N50,N51
6033,,,,,175,,,10,,,,,,33,,,,,,,,,,,,,,,3,172,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,33,,,
6034,,10,,,4,851,,40,380,80,57,2,6,177,,,,,,,10,,,,,,,,1,3,,851,,,,,,10,2,,28,47,16,317,,,80,,,57,,2,,,,,,1,5,,,177,,,
6035,,607,,98,31,450,2,982,1459,581,45,161,159,11,,,,,,,607,,,,,,98,3,27,1,,450,,,,2,,12,853,,117,407,176,876,,,581,,,38,7,160,,1,,,,65,68,2,24,5,,6,
6036,1,2247,,2,218,711,,1707,418,458,628,103,47,1,,1,,,,2,2245,,,,1,,1,175,43,,,711,,,,,,40,1574,,93,223,168,27,,,458,,,434,194,103,,,,,,12,34,,1,1,,,
6037,,28,,154,,,,49,631,55,14,196,129,8,,,,,,,28,,,,,,154,,,,,,,,,,,2,21,,26,85,7,539,,,55,,,14,,196,,,,,,56,32,,41,,,8,
6038,,166,,4,9,2785,,371,484,141,140,6,24,7,,,,,,,166,,,,,,4,,9,,,2785,,,,,,42,8,,321,285,127,72,,,141,,,130,10,6,,,,,,1,23,,,7,,,
6041,,,,81,,,,,,,,,,1019,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,,357,
6042,,,,17,,,,,,,,,,150,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,
6043,,,,5,,,,,,,,6,,423,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,3,,418,2
6044,,,,66,,,1,4,,1,,26,,1086,,,,,,,,,,,,,66,,,,,,,,,1,,,,,4,,,,,,,1,,,,,,26,,,,,,,,171,4,879,32
6050,2281,16,3,14,2,2442,564,3,2,,1424,,619,,19,2209,53,,,16,,,2,1,14,,,,2,,658,,1784,564,,,,3,,,,2,,,,,,,1419,,5,,,,,,,1,11,607,,,,,
6051,311,2,,9,1,4273,1937,3,,,1099,7,24,,,295,16,,,2,,,,,9,,,,1,,238,,4035,1878,,59,,3,,,,,,,,,,,1052,,47,,,7,,,,5,18,1,,,,,
6052,330,563,,444,15,2191,32,74,68,,890,,110,,,330,,,,563,,,,,444,,,,15,,1166,,1025,32,,,,74,,,,20,48,,,,,,424,57,409,,,,,,,12,98,,,,,,
6053,40,858,,594,26,2270,192,249,248,,1526,67,540,,,39,1,,,858,,,,,594,,,,26,,1422,,848,189,,3,,139,,109,1,121,127,,,,,,193,196,1137,,,63,4,,,152,235,153,,,,,
6054,89,299,,401,27,748,1,403,1943,1004,2539,287,1367,,15,71,3,,,299,,,,,401,,,,27,,230,,518,,,1,,319,35,,49,1296,647,,,,1004,,14,673,1852,87,195,5,,,,627,724,3,13,,,,
6055,40,1031,,312,912,5790,2,592,983,271,3875,71,509,47,1,38,1,,2,246,783,,,,278,,34,10,122,780,147,5567,76,,,2,,429,109,,54,469,509,5,,,271,,11,1363,2501,2,10,59,,,,163,299,37,10,46,,1,
6056,1,982,,556,1403,503,130,1644,2795,3608,4135,1435,2107,142,,1,,,,229,753,,,,544,,12,150,177,1076,24,363,116,,,130,,341,1030,,273,1310,1449,36,,,3608,,6,1219,2910,310,97,1028,,,,584,1286,95,142,142,,,
6057,1,1108,,144,615,17,,204,2652,937,389,6,589,3,,1,,,,40,1068,,,,143,,1,3,102,510,,17,,,,,,70,128,,6,1372,1276,4,,,937,,,302,87,,6,,,,,215,100,273,1,3,,,
6058,,330,,33,93,60,1,219,1486,1846,1001,24,749,5,,,,,,1,329,,,,29,,4,,12,81,1,58,1,,,1,,106,83,,30,892,591,3,,,1846,,,478,523,3,3,18,,,,271,222,242,14,5,,,
6059,121,283,,1954,809,1453,,463,575,3,3454,22,1137,,,121,,,,283,,,,,1954,,,441,367,1,573,,880,,,,,463,,,,267,308,,,,3,,76,651,2727,,5,17,,,11,237,652,237,,,,,
6060,77,105,,487,24,7554,241,102,40,,3659,13,339,,,77,,,,105,,,,,487,,,,24,,820,,6734,22,,219,,102,,,,20,20,,,,,,1013,18,2628,,,13,,,,39,247,53,,,,,
6061,,10,,23,7,678,,358,296,452,12957,2442,703,,,,,,,6,4,,,,23,,,,7,,,,678,,,,,217,129,,12,100,196,,,,452,,,65,12892,,2331,111,,,123,128,439,3,10,,,,
6062,2,58,,653,89,261,,721,2954,107,5662,9,2236,,,2,,,,57,1,,,,653,,,,89,,33,,228,,,,,713,,,8,1496,1458,,,,107,,,1919,3743,,2,7,,,5,1477,708,43,3,,,,
6063,,1140,,2,80,59,,312,1379,1628,719,147,266,1,,,,,,,1140,,,,2,,,,9,71,,47,12,,,,,87,204,,21,808,571,,,5,1623,,,124,595,5,142,,,,,150,111,,5,1,,,
6064,,850,,10,9,1,,461,3030,2949,818,2780,903,,,,,,,1,849,,,,6,,4,,8,1,,1,,,,,,144,258,,59,1511,1517,2,,10,2939,,,520,298,15,2713,52,,,29,464,322,58,30,,,,
6065,,10408,,164,848,2038,8,800,4324,2183,3049,57,1957,16,,,,,408,111,9889,,,,139,,25,240,189,419,1,2035,2,,,8,,260,467,,73,1935,2260,129,,,2183,,,2557,492,22,20,15,,,,396,251,1307,3,16,,,
6066,,621,,58,171,,,594,2552,1180,726,262,392,1,,,,,,8,613,,,,58,,,111,39,21,,,,,,,,68,499,,27,922,1624,6,,1,1179,,,698,28,,259,3,,,1,237,153,,1,1,,,
6067,,,,,,,,22,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,13,,,9,,,,,,,,,,,,,,,,,,4,,2,3,,1,
6068,,,,,,,,13,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,1,,,,,,
6069,,4736,,108,1264,3403,46,3523,1122,1539,1364,136,1011,31,,,,,339,9,4388,,,,85,,23,161,143,960,,3403,,,,46,,170,3272,,81,353,661,108,,,1539,,,867,497,106,,30,,,,91,105,810,5,31,,,
6070,,384,,353,245,9,,,340,5,83,,17,,,,,,,361,23,,,,353,,,26,91,128,9,,,,,,,,,,,74,260,6,,,5,,,83,,,,,,,,1,16,,,,,,
6071,,104,,151,539,2,,12,324,2,119,1,53,,,,,,,75,29,,,,151,,,24,40,475,1,1,,,,,,8,,,4,91,225,8,,,2,,,119,,1,,,,,,20,33,,,,,,
6072,,,,11,121,,,2,103,,75,,35,,,,,,,,,,,,11,,,,8,113,,,,,,,,2,,,,24,74,5,,,,,,75,,,,,,,,24,11,,,,,,
6073,,7,,98,473,,,34,183,,229,4,264,41,,,,,,1,6,,,,52,,46,,22,451,,,,,,,,29,,,5,41,134,8,,,,,,228,1,,,4,,,,90,90,84,,41,,,
6074,,1,,1,234,,,3,65,,43,,10,40,,,,,,,1,,,,1,,,,6,228,,,,,,,,2,,,1,15,44,6,,,,,,43,,,,,,,,4,6,,,40,,,
6076,1,644,,2207,1747,39,,73,1935,31,943,47,881,133,,1,,,,401,243,,,,1935,,272,78,488,1181,23,2,14,,,,,73,,,,524,1375,36,,,31,,,923,20,2,,45,,,,246,411,219,5,133,,,
6077,,,,4,447,,,1,,,,,333,10,,,,,,,,,,,1,,3,,32,415,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,329,,10,,,
6078,,1,,1,274,,,,6,,3,,2,45,,,,,,,1,,,,1,,,,15,259,,,,,,,,,,,,,6,,,,,,,3,,,,,,,,1,1,,,45,,,
6079,,,,,13,,,,,,,,,2,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
6081,,154,,32,963,,,10,459,4,226,1,63,9,,,,,,2,152,,,,32,,,,41,922,,,,,,,,9,,,1,131,260,68,,,4,,,226,,1,,,,,,44,19,,,9,,,
6082,,219,,1,402,,,2,395,,33,2,23,68,,,,,,,219,,,,1,,,4,11,387,,,,,,,,1,,,1,120,210,65,,,,,,33,,2,,,,,,19,4,,,68,,,
6083,,,,,737,,,,1,,1,,3,763,,,,,,,,,,,,,,,15,722,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,3,,,763,,,
6084,,29,,1,1506,76,1,366,150,232,48,105,31,1227,,,,,,,29,,,,,,1,,5,1501,,76,,,,1,,12,333,,21,38,30,82,,,232,,,29,19,105,,,,,,15,6,,10,1225,,2,
6090,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
6100,76,75,477,173,15,3247,2070,10,11,,1579,,45,,,72,4,,,75,,477,,,173,,,,15,,893,,2354,2069,,,1,10,,,,3,8,,,,,,1436,4,139,,,,,,,6,39,,,,,,
6101,22,321,,248,30,2590,530,138,52,,3318,,263,,,22,,,,321,,,,,248,,,,30,,877,,1713,530,,,,138,,,,31,21,,,,,,547,6,2765,,,,,,,28,178,57,,,,,
6102,,75,,55,6,963,571,94,79,,3351,12,1089,,,,,,,75,,,,,55,,,,6,,44,,919,,,,571,94,,,,51,28,,,,,,71,7,3273,,,12,,,,25,126,938,,,,,
6103,5,122,93,68,10,1590,2199,46,67,,1804,,144,,,5,,,,122,,,,93,68,,,,10,,244,,1346,2199,,,,46,,,,41,26,,,,,,268,8,1528,,,,,,,54,90,,,,,,
6104,84,168,,167,22,1607,74,246,612,13,3480,9,584,,1,80,3,,,51,117,,,,167,,,,22,,550,2,1055,63,,,11,242,4,,,365,247,,,,13,,111,130,3239,,1,8,,,,166,416,1,1,,,,
6105,,46,,19,12,865,14,334,1043,119,4001,49,723,,,,,,,40,6,,,,19,,,1,11,,18,2,845,14,,,,332,2,,,766,277,,,,119,,3,74,3924,,49,,,,3,391,326,3,,,,,
6106,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
6107,2,1112,,341,327,1712,195,1401,3097,2620,7361,142,806,93,,2,,,13,90,1009,,,,341,,,10,58,259,196,415,1101,193,,2,,796,511,68,26,2178,917,2,,2,2618,,38,750,6573,,86,56,,,13,287,302,200,4,93,,,
6108,,709,,13,1,71,,565,2548,3176,938,236,938,,,,,,,1,708,,,,13,,,,1,,,69,2,,,,,121,401,,43,1286,1258,4,,,3176,,,567,371,12,161,63,,,1,550,213,133,41,,,,
6109,,74,,7,226,26,,1405,154,2315,504,280,402,17,,,,,,,74,,,,6,,1,,19,207,,26,,,,,,160,1201,,44,104,50,,,,2315,,,59,445,69,58,153,,,1,55,123,178,45,17,,,
6110,,3156,,67,321,568,,2545,1461,5281,1034,924,1167,27,,,,,157,25,2974,,,,12,,55,14,61,246,,567,1,,,,,129,2315,,101,759,696,6,,1,5280,,,242,792,331,75,518,,,,232,237,577,121,27,,,
6111,,326,,138,1160,76,,661,1688,2744,882,1161,666,147,,,,,,8,318,,,,135,,3,122,109,929,1,75,,,,,,33,430,,198,584,992,112,,,2744,,,722,160,792,10,353,,6,,295,219,23,129,147,,,
6112,,3715,,78,1819,5396,,4101,979,3871,1422,3961,1247,89,,,,,1288,4,2423,,,,77,,1,11,150,1658,,5396,,,,,,85,3500,,516,373,504,102,,,3870,1,,1080,342,2617,10,1334,,,,228,178,429,412,89,,,
6121,,,,,1038,,,,,,,,,34,,,,,,,,,,,,,,,26,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,
6122,,1723,,13,1292,2626,,1478,410,399,130,68,38,83,,,,,,,1723,,,,7,,6,,36,1256,,2626,,,,,,14,1389,,75,133,200,77,,,399,,,129,1,56,,12,,,,20,8,2,8,83,,,
6123,,17,,,123,27,,94,231,204,38,2,12,139,,,,,,,17,,,,,,,,,123,,27,,,,,,44,12,,38,37,28,166,,,204,,,38,,2,,,,,,6,5,,1,139,,,
6124,,3,,,160,,,7,132,6,7,10,5,166,,,,,,,3,,,,,,,,4,156,,,,,,,,1,1,,5,17,5,110,,,6,,,7,,10,,,,,,1,1,,3,163,,3,
6125,,26,,59,709,,,22,94,4,7,14,58,384,,,,,,,26,,,,,,59,,14,695,,,,,,,,2,,,20,23,,71,,,4,,,7,,14,,,,,,1,4,53,,384,,,
6126,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,
6147,,60,,107,12,70,,318,1445,1269,1681,422,862,,,,,,,5,55,,,,107,,,,12,,1,21,48,,,,,236,72,,10,966,479,,,28,1241,,,781,900,9,406,7,,,1,574,278,,9,,,,
6148,1340,1060,,896,139,1013,,144,675,52,1074,2,743,,17,1320,3,,,1060,,,,,863,33,,31,108,,746,,267,,,,,141,,,3,379,296,,,,52,,28,353,693,,,2,,,,300,262,179,2,,,,
6149,133,1584,,2145,1152,402,,60,411,2,668,,652,,,133,,,,1583,1,,,,2145,,,883,269,,392,,10,,,,,60,,,,88,323,,,,2,,,608,60,,,,,,,11,114,527,,,,,
6150,246,360,,1405,1423,310,,63,54,,342,,424,,,246,,,,360,,,,,1404,,1,1056,367,,301,,9,,,,,63,,,,11,43,,,,,,13,290,39,,,,,,,4,43,377,,,,,
6151,2383,84,75,46,16,4719,860,2,3,,811,,36,,13,2023,347,,,84,,21,,54,46,,,,16,,2300,,2419,857,,,3,2,,,,1,2,,,,,,797,,14,,,,,,,2,30,4,,,,,
6152,1547,502,,596,103,6211,155,55,31,,1923,1,445,,11,1521,15,,,502,,,,,596,,,,103,,2241,,3970,76,,1,78,55,,,,20,11,,,,,,1636,13,274,,,,1,,,7,70,368,,,,,
6153,4274,233,175,306,56,2832,316,78,28,,386,,78,,593,3472,194,15,1,232,,8,,167,306,,,1,55,,2509,,323,316,,,,78,,,,21,7,,,,,,195,5,186,,,,,,,5,72,,1,,,,
6154,531,812,,868,112,1125,,41,37,,230,,410,,1,529,1,,,812,,,,,865,,3,4,108,,891,,234,,,,,41,,,,14,23,,,,,,37,14,179,,,,,,,7,120,283,,,,,
6155,17,7869,,1703,1894,880,,205,2393,64,2704,3,398,1,,17,,,860,3178,3831,,,,1703,,,1464,368,62,117,681,82,,,,,151,54,,,597,1796,,,,64,,3,1934,767,,3,,,,,72,216,110,,1,,,
6156,1493,1525,,598,65,1137,,108,645,1,885,17,544,,152,1335,5,1,,1524,1,,,,598,,,7,57,1,503,,634,,,,,108,,,,447,198,,,,1,,144,45,696,,,11,1,5,,46,346,151,1,,,,
6157,803,680,,653,28,2375,3,99,95,1,706,1,479,,57,729,17,,,680,,,,,653,,,,28,,916,,1459,,,3,,98,,,1,48,47,,,,1,,158,38,510,,,1,,,,31,383,65,,,,,
6158,1368,153,,118,20,1507,2,3,3,,97,,25,,33,1281,54,,,153,,,,,118,,,2,17,1,963,,544,,,2,,3,,,,,3,,,,,,90,1,6,,,,,,,4,21,,,,,,
6159,397,1,,18,3,1291,297,5,,,205,42,6,,3,193,201,,,1,,,,,17,,1,,3,,1060,,231,30,,267,,5,,,,,,,,,,,196,,9,,,42,,,,,6,,,,,,
6160,86,125,33,114,13,2128,875,82,3,,1609,265,143,,4,71,11,,,125,,1,32,,108,,6,1,11,1,709,,1419,548,,327,,81,,,1,1,2,,,,,,1345,12,252,,,42,223,,,13,129,,1,,,,
6161,,,,268,,,,,,,,,,1,,,,,,,,,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
6162,69,666,,826,75,1788,2,100,131,3,1132,81,263,2,,65,4,,,666,,,,,816,,10,11,64,,1346,,442,,,2,,99,,,1,60,71,,,,3,,748,131,253,,,,81,,,12,249,,2,2,,,
6163,747,539,6,1796,553,2030,10,1271,4211,248,8573,311,3583,1,5,723,19,,,380,159,6,,,1772,,24,286,264,3,1019,7,1004,1,,9,,1149,,,122,2201,2009,1,,,248,,24,3044,5505,9,4,298,,,,1521,1514,532,16,1,,,
6164,,9094,,149,1426,3139,996,1517,3686,1329,4562,221,701,28,,,,,360,72,8662,,,,148,,1,211,214,1001,1,2922,216,824,,171,1,1150,240,9,118,1875,1786,25,,,1329,,1,3667,894,3,33,185,,,,268,295,137,1,28,,,
6165,,,,1,1,,1,1,,1,,,1,23,,,,,,,,,,,,,1,,1,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,1,,,,21,,2,
6166,13,413,,468,688,167,,109,703,4,1196,34,412,222,,13,,,,326,87,,,,380,,88,481,165,42,39,121,7,,,,,95,,,14,296,359,48,,,4,,1,532,663,14,,20,,,,174,104,128,6,222,,,
6167,,807,,6,648,843,,2562,116,2559,567,2541,865,369,,,,,,,807,,,,5,,1,,31,617,,843,,,,,,43,1974,,545,26,59,31,,,2464,95,,519,48,2284,,257,,,,32,165,174,494,367,,2,
6168,6,211,,647,24,20,444,1036,832,2757,873,2986,2037,,,5,1,,,,211,,,,26,,621,1,23,,9,2,9,,,444,,237,355,,444,344,396,92,,,2757,,1,313,559,1325,,1661,,,,576,641,385,435,,,,
6169,2,821,,1053,137,17,25,2965,3526,2895,744,1118,1832,2,1,1,,,,6,815,,,,94,,959,14,77,46,1,16,,,,25,,159,2531,,275,1314,1439,773,,,2895,,,657,87,488,6,624,,,,1039,634,,159,2,,,
6170,,267,,5,384,3001,10,1203,97,1314,191,192,22,2,,,,,,,267,,,,5,,,4,18,362,,3001,,,,10,,27,1138,,38,38,56,3,,,1314,,,187,4,115,,77,,,,5,13,,4,2,,,
6171,,4351,,192,628,5354,,2274,474,474,135,56,757,133,,,,,,,4351,,,,1,,191,31,28,569,,5354,,,,,,127,1804,,343,157,195,122,,,474,,,126,9,52,,4,,,,28,115,614,,133,,,
6172,,1449,,71,20,4,1,2197,587,266,60,54,264,7,,,,,,6,1443,,,,14,,57,6,11,3,,4,,,,1,,16,2155,,26,47,353,187,,,266,,,48,12,48,,6,,,,50,35,169,10,7,,,
6173,,3020,,5,315,35,,519,287,12,7,7,10,,,,,,6,2,3012,,,,,,5,240,75,,,35,,,,,,4,510,,5,35,168,84,,,12,,,7,,7,,,,,,4,6,,,,,,
6174,,370,,9,46,783,,127,783,77,154,39,54,,,,,,,2,368,,,,5,,4,3,23,20,,783,,,,,,9,65,,53,339,127,317,,,77,,,151,3,39,,,,,,23,29,,2,,,,
6175,,732,,24,42,,,101,651,5,5,39,22,,,,,,,2,730,,,,4,,20,1,29,12,,,,,,,,1,99,,1,175,192,284,,,5,,,5,,39,,,,,,16,2,,4,,,,
6176,,,,,201,334,,21,8,73,48,,11,52,,,,,,,,,,,,,,,5,196,,334,,,,,,1,,,20,,7,1,,,73,,,48,,,,,,,,7,4,,,52,,,
6180,,425,,217,215,26,,626,471,122,63,66,76,7,,,,,,,425,,,,,,217,,10,205,,26,,,,,,14,522,,90,97,40,334,,,122,,,63,,26,,40,,,,8,20,15,33,7,,,
6181,,,,,169,,,,,,,,,5,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
6182,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
6207,,,,3,27,,,28,19,7,,8,15,359,,,,,,,,,,,,,3,,,27,,,,,,,,1,,,27,,,19,,,7,,,,,8,,,,,,7,3,,5,335,,24,
6208,,450,,1372,200,12,,311,1185,188,56,890,944,523,,,,,,,450,,,,1,,1371,,15,185,,12,,,,,,25,43,,243,182,84,919,,,138,50,,56,,869,,21,,,,123,228,292,301,481,,41,1
6209,,1,,82,281,,,43,7,,5,50,232,224,,,,,,,1,,,,,,82,,6,275,,,,,,,,8,,,35,,6,1,,,,,,5,,,,50,,,,7,33,169,23,221,,3,
6210,20,2202,,8381,577,78,1042,2604,6955,1077,1252,7097,6177,20,4,4,12,,,38,2164,,,,589,10,7782,3,282,292,53,25,,,,1042,,530,762,,1312,1564,1529,3862,,,1075,2,32,1094,126,2805,,4023,110,159,,1064,1449,2376,1288,15,,5,
6211,2,194,,1356,32,,5,158,1562,40,132,81,135,428,,,2,,,5,189,,,,22,,1334,,21,11,,,,,,5,,62,27,,69,203,130,1229,,,6,34,1,131,,62,,19,,,,36,84,6,9,423,,5,
6213,,,,5,,,,17,18,2,,10,9,342,,,,,,,,,,,,,5,,,,,,,,,,,,,,17,,,18,,,,2,,,,10,,,,,,,3,,6,148,,194,
6214,,,,,,,,34,17,,,3,2,284,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,17,,,,,,,,3,,,,,,,2,,,274,1,9,
6215,,,,114,74,,,284,260,31,18,260,287,1188,,,,,,,,,,,,,114,,,74,,,,,,,,,,,284,6,2,252,,,13,18,,18,,248,,12,,,,12,21,51,203,745,,438,5
6218,,,,,,,,26,2,5,,14,8,385,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,2,,,,5,,,,14,,,,,,,,,8,176,,182,27
6219,,,,,1,,,4,3,,,,2,206,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,3,,,,,,,,,,,,,,,2,,,198,,8,
6220,,2,,27,4,,,319,365,12,9,275,349,758,,,,,,,2,,,,,,27,,,4,,,,,,,,,,,319,22,3,340,,,8,4,,9,,260,,15,,,,6,14,17,312,606,,152,
6221,,,,,,,,,7,,,5,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,,,,106,,6,
6223,,,,,,,,,,,,1,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,95,,,
6224,,,,,1,,,109,38,10,,134,79,241,,,,,,,,,,,,,,,,1,,,,,,,,,,,109,2,1,35,,,2,8,,,,134,,,,,,,,,79,205,1,35,
6225,,,,1,3,,,249,431,1108,5,921,575,804,,,,,,,,,,,,,1,,,3,,,,,,,,,,,249,2,,429,,,,1108,,5,,847,,43,,31,,6,4,,565,603,56,104,41
6226,,1,,,168,,,4,84,,6,6,1,100,,,,,,,1,,,,,,,,1,167,,,,,,,,,,,4,,,84,,,,,,6,,6,,,,,,,1,,,99,,1,
6227,,83,,,7,,,3,128,,,9,1,94,,,,,,,83,,,,,,,,,7,,,,,,,,,,,3,2,1,125,,,,,,,,9,,,,,,,,,1,93,,1,
6228,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,1,
6229,,,,1,,,,25,3,,,16,,108,,,,,,,,,,,,,1,,,,,,,,,,,,,,25,,,3,,,,,,,,16,,,,,,,,,,74,,34,
6230,,1336,,1429,768,50,533,3806,4602,162,444,3757,2787,93,,,,,,25,1311,,,,187,,1242,1,67,700,34,16,,,,533,,92,1400,,2314,451,236,3915,,,150,12,1,400,43,2860,,823,,74,,565,721,293,1208,38,,54,1
6232,,458,,21,,26,,439,2381,29,221,444,517,,,,,,,,458,,,,,,21,,,,,26,,,,,,13,242,,184,83,25,2273,,,28,1,,220,1,438,,6,,,,60,143,145,169,,,,
6233,,1273,,305,910,21,,622,3722,51,52,487,513,160,,,,,,,1273,,,,4,,301,,14,896,,21,,,,,,2,199,,421,213,95,3414,1,,50,,,52,,478,,9,,,,235,180,,98,108,,52,
6236,,,,,76,,,13,132,,,6,3,735,,,,,,,,,,,,,,,,76,,,,,,,,,,,13,2,,130,,,,,,,,6,,,,,,,,,3,705,,30,
6237,,,,,138,,,17,163,,,21,17,646,,,,,,,,,,,,,,,,138,,,,,,,,,,,17,18,,145,,,,,,,,20,,1,,,,3,1,,13,618,1,27,
6239,,1,,31,7,,,323,464,,,312,206,612,,,,,,,1,,,,,,31,,,7,,,,,,,,,,,323,3,1,460,,,,,,,,296,,16,,,,10,10,2,184,474,,137,1
6240,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,
6243,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,47,3
6244,,,,,,,,19,4,1,,3,21,801,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,4,,,,1,,,,3,,,,,,,,,21,85,251,258,207
6251,,,,,,,,,,,,,32,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,104,3,84,
6252,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,55,6
6253,,,,1,,,,13,,,,,15,374,,,,,,,,,,,,,1,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,15,143,3,227,1
6254,,,,,,,,8,5,,,5,5,328,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,5,,,,,,,,5,,,,,,,,,5,64,8,180,76
6255,,,,20,3,,,148,185,3,,167,124,1165,,,,,,,,,,,,,20,,,3,,,,,,,,,,,148,,,185,,,,3,,,,154,,13,,,,4,7,12,101,504,27,633,1
6256,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,27,4,
6258,,,,2,1,,,285,447,166,,724,374,1323,,,,,,,,,,,,,2,,,1,,,,,,,,,,,285,,,447,,,,166,,,,659,,65,,,,5,1,16,352,922,97,296,8
6260,,,,3,,,,209,7,13,,14,82,606,,,,,,,,,,,,,3,,,,,,,,,,,,,,209,,,7,,,,13,,,,12,,2,,,,,1,,81,291,38,264,13
6262,,,,,,,,12,,,,3,6,474,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,3,,,,,,,,,6,291,66,114,3
6271,,,,231,5,,,159,568,,10,215,112,543,,,,,,,,,,,1,,230,,1,4,,,,,,,,4,26,,129,8,,560,,,,,,10,,209,,6,,,,24,25,,63,373,,168,2
6275,,,,4,,,,13,9,,,4,18,873,,,,,,,,,,,,,4,,,,,,,,,,,,,,13,,,9,,,,,,,,4,,,,,,,,,18,524,36,312,1
6280,4,670,,2370,812,1,21,1353,4491,9,438,1015,1710,1627,,3,1,,,,670,,,,56,,2314,,47,765,,1,,,,21,,87,106,,1160,375,128,3988,,,9,,,438,,626,,389,,,,271,601,492,346,1594,,33,
6281,9,245,,1808,544,14,,355,1140,,725,3,251,273,,3,6,,,6,239,,,,67,,1741,,56,488,,14,,,,,,127,,,228,272,134,734,,,,,,724,1,1,,2,,,,45,204,,2,270,,3,
6282,6,,,203,608,,1,3,,,,,3,353,,,6,,,,,,,,1,,202,,26,582,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,3,,,349,,4,
6284,,109,,47,8,,,27,291,,20,3,11,382,,,,,,4,105,,,,,,47,,1,7,,,,,,,,1,,,26,25,,266,,,,,,20,,3,,,,,,,8,,3,360,,22,
6285,,381,,226,251,,10,443,1918,25,127,283,156,988,,,,,,20,361,,,,19,,207,,61,190,,,,,,10,,18,72,,353,277,33,1608,,,25,,,120,7,69,,214,,,,19,67,51,19,975,3,10,
6286,,,,2,,,,2,3,,1,,1,576,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,3,,,,,,1,,,,,,,,1,,,,541,13,22,
6288,,,,1,,,,,,,,,,338,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2,16,
6290,,,,779,,,12,23,3,,4,2,32,870,,,,,,,,,,,,,779,,,,,,,,,12,,,,,23,,,3,,,,,,4,,,,2,,,,,8,24,,118,,752,
6302,,,,127,1,,,448,104,33,,261,404,1062,,,,,,,,,,,,,127,,,1,,,,,,,,,,,448,1,,103,,,,33,,,,158,,103,,,,,24,1,379,749,46,259,8
